Operating Unit	Country Name	Planning Cycle	Implementation Year	Mechanism ID	Mechanism Name	Funding Agency	Partner Name	Award Number	Start Date	End Date	Procurement Type	Record Type	GAP	GHP-State	GHP-USAID	Total New Funding Sources	Applied Pipeline Amount	Total Planned Funding	CIRC	HBHC	HKID	HLAB	HMBL	HMIN	HTXD	HTXS	HVAB	HVCT	HVMS	HVOP	HVSI	IDUP	MTCT	OHSS	PDCS	PDTX	HVTB	Gender: Preventing and Responding to Gender-based Violence (GBV)	Water	Prevention among Adolescent Girls & Young Women	Condoms: Commodities	"Condoms: Policy, Tools, and Service Delivery"	Construction	Economic Strengthening	Education	Food and Nutrition: Commodities	"Food and Nutrition: Policy, Tools, and Service Delivery"	Gender: Gender Equality	Human Resources for Health	Key Populations: MSM and TG	Key Populations: SW	Motor Vehicles: Leased	Motor Vehicles: Purchased	Renovation
Angola	Angola	2020 COP	FY 2021	104003	Management and Operations	DOD						Management and Operations		285000		285000		285000	0	0	0	17000	0	0	0	75000	0	0	140000	14000	25000	0	0	14000	0	0	0																	
Angola	Angola	2020 COP	FY 2021	109003	Management and Operations	HHS/CDC						Management and Operations	401250	1498750		1900000		1900000	0	0	0	0	0	0	0	0	0	0	1900000	0	0	0	0	0	0	0	0																	
Asia Region	Asia Regional Program	2020 COP	FY 2021	84020	TMEC - EpiC	USAID	Family Health International	7200AA19CA00002	4/15/2019 4:00	4/14/2024 4:00	Cooperative Agreement	Implementing Mechanism	0	0	0	0	997427	997427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Asia Regional Program	2020 COP	FY 2021	101212	Management and Operations	State						Management and Operations		873219		873219		873219	0	0	0	8582	0	0	0	8582	0	8582	830309	8582	8582	0	0	0	0	0	0																	
Asia Region	Asia Regional Program	2020 COP	FY 2021	102212	Management and Operations	USAID						Management and Operations	0	1347761	0	1347761	0	1347761	0	0	0	102377	0	0	0	110083	0	102377	737570	102377	192977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Asia Regional Program	2020 COP	FY 2021	109212	Management and Operations	HHS/CDC						Management and Operations		779020		779020		779020	0	0	0	117402	0	0	0	117402	0	117402	278270	117402	31142	0	0	0	0	0	0																	
Asia Region	Burma	2020 COP	FY 2021	18193	GHSC-PSM	USAID/WCF	"Chemonics International, Inc."	AIDOAAI1500004AIDOAATO1500007	1/11/2016 5:00	11/28/2020 5:00	Contract	Implementing Mechanism		300000		300000		300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300000	0	0	0																	
Asia Region	Burma	2020 COP	FY 2021	81068	FHI 360-Epic	USAID	Family Health International	7200AA19CA00002	4/15/2019 4:00	4/14/2024 4:00	Cooperative Agreement	Implementing Mechanism	0	645000	0	645000	1200000	1845000	0	0	0	0	0	0	0	529881	0	56143	0	58976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Burma	2020 COP	FY 2021	84102	Local Action Towards TB Free Myanmar (LATT-Myanmar)	USAID	PYI GYI KHIN	72048220FA00001				Implementing Mechanism	0	15000	0	15000	0	15000	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Burma	2020 COP	FY 2021	81063	"Regents of the University of California, San Francisco, The"	HHS/CDC	"Regents of the University of California, San Francisco, The"	GH002183	9/30/2019 4:00	9/30/2024 4:00	Cooperative Agreement	Implementing Mechanism		790000		790000		790000	0	0	0	0	0	0	0	0	0	0	0	0	790000	0	0	0	0	0	0																	
Asia Region	Burma	2020 COP	FY 2021	Redacted as the Mechanism is to be determined	Redacted as the Mechanism is to be determined	USAID	TBD	TBDawardUSAID				Implementing Mechanism	0	700000	0	700000	0	700000	0	0	0	0	0	0	0	15248	0	324356	0	360396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Burma	2020 COP	FY 2021	81062	Trustees of Columbia University In the City of New York	HHS/CDC	Trustees Of Columbia University In The City Of New York	GH002216	9/30/2019 4:00	9/29/2024 4:00	Cooperative Agreement	Implementing Mechanism		2200000		2200000		2200000	0	0	0	751601	0	0	0	303125	0	131250	0	65625	250534	341159	0	356706	0	0	0												100000					
Asia Region	Burma	2020 COP	FY 2021	17111	Joint U.N. Programme on HIV/AIDS (UNAIDS III)	USAID	UNAIDS JOINT UNITED NATIONS PROGRAMME ON HIV/AIDS	AIDGHIO1200001	9/27/2012 4:00	9/30/2022 4:00	Grant	Implementing Mechanism	0	3865608	0	3865608	674392	4540000	0	0	0	0	0	0	0	2110294	0	600930	0	724530	113689	187317	0	128848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Burma	2020 COP	FY 2021	17112	World Health Organization	HHS/CDC	World Health Organization	GH002154	9/30/2018 4:00	9/29/2023 4:00	Cooperative Agreement	Implementing Mechanism		360000		360000		360000	0	0	0	0	0	0	0	115200	0	57600	0	28800	0	57600	0	100800	0	0	0																	
Asia Region	Burma	2020 COP	FY 2021	102022	Management and Operations	USAID						Management and Operations	0	650000	0	650000	0	650000	0	0	0	0	0	0	0	0	0	0	650000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Burma	2020 COP	FY 2021	109022	Management and Operations	HHS/CDC						Management and Operations		1101392		1101392		1101392	0	0	0	77667	0	0	0	0	0	0	670550	0	75825	0	0	277350	0	0	0																	
Asia Region	Cambodia	2020 COP	FY 2021	81080	Local Health System Sustainability	USAID	"Abt Associates, Inc."	7200AA18D00023				Implementing Mechanism	0	600000	0	600000	0	600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Cambodia	2020 COP	FY 2021	17570	GHSC-PSM	USAID	"Chemonics International, Inc."	AIDOAAI1500004	1/11/2016 5:00	11/28/2020 5:00	Contract	Implementing Mechanism	0	150000	0	150000	0	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Cambodia	2020 COP	FY 2021	18534	Enhancing Quality of Healthcare Activity (EQHA)	USAID	Family Health International	72044218CA00006	8/30/2018 4:00	8/29/2023 4:00	Grant	Implementing Mechanism	0	250000	0	250000	200000	450000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Cambodia	2020 COP	FY 2021	84126	Meeting Targets and Maintaining Epidemic Control (EpiC) - Cambodia	USAID	Family Health International	7200AA19CA00002	4/15/2019 4:00	4/14/2024 4:00	Cooperative Agreement	Implementing Mechanism	0	2325000	0	2325000	0	2325000	0	142500	0	0	0	0	0	142500	0	190000	0	190000	474643	0	0	1185357	0	0	0	47000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Cambodia	2020 COP	FY 2021	18571	"National Centre for HIV/AIDS, Dermatology and STDs Phase IV"	HHS/CDC	NATIONAL CENTER FOR HIV/AIDS DERMATOLOGY AND STDS (NCHADS)	1NU2GGH002121			Contract	Implementing Mechanism	600000	225000		825000	400000	1225000	0	0	0	122500	0	0	0	122000	0	64050	0	0	238875	0	0	277575	0	0	0																	
Asia Region	Cambodia	2020 COP	FY 2021	18573	National Institute of Public Health Phase III	HHS/CDC	NATIONAL INSTITUTE OF PUBLIC HEALTH	5NU2GGH002124	4/1/2018 4:00	9/29/2023 4:00	Contract	Implementing Mechanism	144278			144278	55722	200000	0	0	0	144278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
Asia Region	Cambodia	2020 COP	FY 2021	81074	University of California San Francisco	HHS/CDC	"Regents of the University of California, San Francisco, The"	GH002170			Cooperative Agreement	Implementing Mechanism	35000			35000	15000	50000	0	0	0	0	0	0	0	14000	0	7350	0	0	0	0	0	13650	0	0	0																	
Asia Region	Cambodia	2020 COP	FY 2021	84120	University of California San Francisco	HHS/CDC	"Regents of the University of California, San Francisco, The"	GH002288				Implementing Mechanism	80000	10000		90000		90000	0	0	0	0	0	0	0	0	0	0	0	0	90000	0	0	0	0	0	0																	
Asia Region	Cambodia	2020 COP	FY 2021	102024	Management and Operations	USAID						Management and Operations	0	592779	0	592779	252221	845000	0	0	0	0	0	0	0	0	0	0	592779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Cambodia	2020 COP	FY 2021	109024	Management and Operations	HHS/CDC						Management and Operations	18530	1746470		1765000		1765000	0	0	0	126591	0	0	0	0	0	0	967293	0	128821	0	0	542295	0	0	0																	
Asia Region	India	2020 COP	FY 2021	17351	PWID Collaborative Project	HHS/CDC	Family Health International	GH001340			Contract	Implementing Mechanism		100000		100000		100000	0	0	0	0	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	0																	
Asia Region	India	2020 COP	FY 2021	84378	Meeting Targets and Maintaining Epidemic Control (EpiC) - India	USAID	Family Health International	7200AA19CA00002	4/15/2019 4:00	4/14/2024 4:00	Cooperative Agreement	Implementing Mechanism	0	500000	0	500000	0	500000	0	0	0	0	0	0	0	319277	0	0	0	180723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	India	2020 COP	FY 2021	18593	HIV/AIDS Services for Key Populations Affected by HIV Project	USAID	"Johns Hopkins University, The"	72038619CA00001	4/2/2019 4:00	4/1/2024 4:00	Grant	Implementing Mechanism	0	5250000	0	5250000	5053075	10303075	0	0	1244726	0	0	0	0	2156686	0	924294	0	616196	0	0	0	308098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	India	2020 COP	FY 2021	18543	PATH	HHS/CDC	PATH	GH002129			Contract	Implementing Mechanism		500000		500000		500000	0	0	0	0	0	0	0	294118	0	117647	0	0	0	0	0	88235	0	0	0																	
Asia Region	India	2020 COP	FY 2021	84380	Market Access Innovative Finance	USAID	"Rios Partners, LLC"	47QRAA18D00F8				Implementing Mechanism	0	242962	0	242962	0	242962	0	0	0	0	0	0	0	242962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	India	2020 COP	FY 2021	17350	Laboratory Strengthening	HHS/CDC	SOCIETY FOR HEALTH ALLIED RESEARCH AND EDUCATION INDIA (SHARE INDIA)	6NU2GGH001462			Contract	Implementing Mechanism		100000		100000		100000	0	0	0	0	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	0																	
Asia Region	India	2020 COP	FY 2021	84371	SHARE Lab 	HHS/CDC	SOCIETY FOR HEALTH ALLIED RESEARCH AND EDUCATION INDIA (SHARE INDIA)	GH002271				Implementing Mechanism		900000		900000	1500000	2400000	0	0	0	17308	0	0	0	796154	0	0	0	0	0	0	0	0	86538	0	0																	
Asia Region	India	2020 COP	FY 2021	84379	Learning4Impact (L4i)	USAID	SWASTI	72038618CA00001				Implementing Mechanism	0	400000	0	400000	0	400000	0	0	0	0	0	0	0	181818	0	0	0	218182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	India	2020 COP	FY 2021	Redacted as the Mechanism is to be determined	Redacted as the Mechanism is to be determined	HHS/CDC	TBD	TBDawardHHSCDC				Implementing Mechanism		1650000		1650000	2700000	4350000	0	0	0	0	0	0	0	1068305	0	302034	0	201356	0	0	0	78305	0	0	0																	
Asia Region	India	2020 COP	FY 2021	14088	UNAIDS	HHS/CDC	UNAIDS JOINT UNITED NATIONS PROGRAMME ON HIV/AIDS	GH001971			Cooperative Agreement	Implementing Mechanism		325000		325000	250000	575000	0	0	0	0	0	0	0	0	0	0	0	18190	306810	0	0	0	0	0	0																	
Asia Region	India	2020 COP	FY 2021	18168	UNAIDS	USAID	UNAIDS JOINT UNITED NATIONS PROGRAMME ON HIV/AIDS	AIDGHIO1200001	9/27/2012 4:00	9/30/2022 4:00	Grant	Implementing Mechanism	0	100000	0	100000	0	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	India	2020 COP	FY 2021	18167	I-TECH	HHS/HRSA	UNIVERSITY OF WASHINGTON	U91HA06801			Contract	Implementing Mechanism		644515		644515	1605485	2250000	0	0	0	0	0	0	0	325644	0	0	0	238000	13871	0	0	42000	0	25000	0																	
Asia Region	India	2020 COP	FY 2021	84372	UNICEF	HHS/CDC	Unicef	GH002260				Implementing Mechanism		300000		300000		300000	0	0	0	0	0	0	0	75000	0	0	0	156818	0	0	0	0	68182	0	0																	
Asia Region	India	2020 COP	FY 2021	17353	WHO (NEW)	HHS/CDC	World Health Organization	GH001180	9/30/2013 4:00	9/29/2019 4:00	Cooperative Agreement	Implementing Mechanism		475000		475000		475000	0	0	0	0	0	0	0	166250	0	0	0	0	308750	0	0	0	0	0	0																	
Asia Region	India	2020 COP	FY 2021	80055	Treatment Interventions Amongst Key Populations	USAID	World Health Organization	GHAG000900003	9/1/2009 4:00	9/1/2020 4:00	Grant	Implementing Mechanism	0	200000	0	200000	0	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	India	2020 COP	FY 2021	102069	Management and Operations	USAID						Management and Operations	0	50000	0	50000	1203963	1253963	0	0	0	0	0	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	India	2020 COP	FY 2021	109069	Management and Operations	HHS/CDC						Management and Operations	2000000	950000		2950000		2950000	0	0	0	0	0	0	0	987082	0	0	1557635	405283	0	0	0	0	0	0	0																	
Asia Region	Indonesia	2020 COP	FY 2021	18225	GHSC-PSM	USAID/WCF	"Chemonics International, Inc."	AIDOAAI1500004AIDOAATO1500007	1/11/2016 5:00	11/28/2020 5:00	Contract	Implementing Mechanism		603000		603000	1705391	2308391	0	31500	0	7741	0	0	175500	224077	0	0	0	0	89727	0	0	74455	0	0	0																	
Asia Region	Indonesia	2020 COP	FY 2021	17600	LINKAGES	USAID	FHI Development 360 LLC	AIDOAAA1400045	6/11/2014 4:00	12/30/2021 5:00	Cooperative Agreement	Implementing Mechanism	0	751794	0	751794	201432	953226	0	202992	0	0	0	0	0	326470	0	161067	0	0	0	0	0	61265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Indonesia	2020 COP	FY 2021	81211	Meeting Targets and Maintaining Epidemic Control (EpiC)	USAID	Family Health International	7200AA19CA00002	4/15/2019 4:00	4/14/2024 4:00	Cooperative Agreement	Implementing Mechanism	0	2064966	0	2064966	5249087	7314053	0	761631	0	0	0	0	0	1037265	0	73579	0	0	152265	0	0	40226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Indonesia	2020 COP	FY 2021	17598	BANTU	USAID	"Palladium International, LLC"	AID497C1500003			Contract	Implementing Mechanism	0	200000	0	200000	0	200000	0	75000	0	0	0	0	0	75000	0	0	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Indonesia	2020 COP	FY 2021	84391	USAID/Indonesia MEL Platform	USAID	Panagora Group LLC	GS00F210DA				Implementing Mechanism	0	0	0	0	857522	857522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Indonesia	2020 COP	FY 2021	Redacted as the Mechanism is to be determined	Redacted as the Mechanism is to be determined	USAID	TBD	TBDawardUSAID				Implementing Mechanism	0	0	0	0	400000	400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Indonesia	2020 COP	FY 2021	80048	Health Financing Activity	USAID	"ThinkWell, LLC"	72049719C00002	3/26/2019 4:00	3/25/2024 4:00	Contract	Implementing Mechanism	0	400000	0	400000	461808	861808	0	150000	0	0	0	0	0	150000	0	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Indonesia	2020 COP	FY 2021	81210	UNAIDS	USAID	UNAIDS JOINT UNITED NATIONS PROGRAMME ON HIV/AIDS	AIDGHIO1200001	9/27/2012 4:00	9/30/2022 4:00	Grant	Implementing Mechanism	0	0	0	0	500000	500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Indonesia	2020 COP	FY 2021	18222	Siklus	DOD	YAYASAN SIKLUS SEHAT INDONESIA	N681711710002	5/3/2017 7:00	9/30/2021 7:00	Grant	Implementing Mechanism		200000		200000		200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200000	0	0	0																	
Asia Region	Indonesia	2020 COP	FY 2021	102070	Management and Operations	USAID						Management and Operations	0	427034	0	427034	202966	630000	0	14991	0	0	0	0	0	51436	0	0	296112	0	27136	0	0	37359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Indonesia	2020 COP	FY 2021	104070	Management and Operations	DOD						Management and Operations		70000		70000		70000	0	0	0	0	0	0	0	0	0	0	23320	0	0	0	0	46680	0	0	0																	
Asia Region	Kazakhstan	2020 COP	FY 2021	100166	Kazakhstan Support to Ministry of Health/Republican AIDS Center of the Republic of Kazakhstan	HHS/CDC	AIDS CENTER OF THE REPUBLIC OF KAZAKHSTAN	NU2GGH002049			Contract	Implementing Mechanism		275000		275000		275000	0	0	0	48529	0	0	0	16985	0	144780	0	0	32353	0	0	32353	0	0	0																	
Asia Region	Kazakhstan	2020 COP	FY 2021	100190	Kazakhstan LEADER for PLHIV	USAID	Central Asian Association of People Living with HIV	AID176A1400001			Contract	Implementing Mechanism	0	0	0	0	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Kazakhstan	2020 COP	FY 2021	84420	GHSC-PSM	USAID	"Chemonics International, Inc."	AIDOAAI1500004	1/11/2016 5:00	11/28/2020 5:00	Contract	Implementing Mechanism	0	200000	0	200000	0	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Kazakhstan	2020 COP	FY 2021	81240	FHI 360 Epic	USAID	Family Health International	7200AA19CA00002	4/15/2019 4:00	4/14/2024 4:00	Cooperative Agreement	Implementing Mechanism	0	660000	0	660000	70000	730000	0	146000	0	0	0	0	0	48667	0	97333	0	18250	0	30417	0	319333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Kazakhstan	2020 COP	FY 2021	100176	Kazakhstan HIV Flagship Project	USAID	Population Services International	AID176C1600001			Contract	Implementing Mechanism	0	0	0	0	80000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Kazakhstan	2020 COP	FY 2021	100183	Kazakhstan Kazakhstan - Republican Narcology Center	HHS/CDC	"RESPUBLIKANSKI NAUCHNO-PRAKTICHESKI TSENTR PSIKHICHESKOGO ZDOROVYA, GP"	NU2GGH002142			Contract	Implementing Mechanism		10000		10000		10000	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0																	
Asia Region	Kazakhstan	2020 COP	FY 2021	81234	Columbia University-ICAP	HHS/CDC	Trustees Of Columbia University In The City Of New York	GH002185	9/30/2019 4:00	9/29/2024 4:00	Cooperative Agreement	Implementing Mechanism		367000		367000		367000	0	0	0	0	0	0	0	229375	0	45875	0	0	91750	0	0	0	0	0	0																	
Asia Region	Kazakhstan	2020 COP	FY 2021	101078	Management and Operations	State						Management and Operations		160000		160000		160000	0	0	0	0	0	0	0	0	0	0	160000	0	0	0	0	0	0	0	0																	
Asia Region	Kazakhstan	2020 COP	FY 2021	102078	Management and Operations	USAID						Management and Operations	0	196365	0	196365	403635	600000	0	0	0	0	0	0	0	0	0	0	196365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Kazakhstan	2020 COP	FY 2021	109078	Management and Operations	HHS/CDC						Management and Operations	505625	462375		968000		968000	0	0	0	0	0	0	0	212322	0	0	686002	0	0	69676	0	0	0	0	0																	
Asia Region	Kyrgyzstan	2020 COP	FY 2021	100191	Kyrgyzstan LEADER for PLHIV	USAID	Central Asian Association of People Living with HIV	AID176A1400001			Contract	Implementing Mechanism	0	0	0	0	15000	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Kyrgyzstan	2020 COP	FY 2021	82197	GHSC-PSM	USAID	"Chemonics International, Inc."	AIDOAAI1500004	1/11/2016 5:00	11/28/2020 5:00	Contract	Implementing Mechanism	0	3494	0	3494	96506	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Kyrgyzstan	2020 COP	FY 2021	81253	FHI 360 Epic	USAID	Family Health International	7200AA19CA00002	4/15/2019 4:00	4/14/2024 4:00	Cooperative Agreement	Implementing Mechanism	0	1455000	0	1455000	0	1455000	0	421950	0	0	0	0	0	140650	0	368600	0	50925	0	84875	0	388000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Kyrgyzstan	2020 COP	FY 2021	100193	Kyrgyzstan Republican AIDS Center of the Republic of Kyrgyzstan	HHS/CDC	Kyrgyzstan AIDS Center	NU2GGH002048			Contract	Implementing Mechanism		375000		375000		375000	0	0	0	22059	0	0	0	132353	0	35294	0	67647	117647	0	0	0	0	0	0																	
Asia Region	Kyrgyzstan	2020 COP	FY 2021	100177	Kyrgyzstan HIV Flagship Project	USAID	Population Services International	AID176C1600001			Contract	Implementing Mechanism	0	0	0	0	180000	180000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia Region	Kyrgyzstan	2020 COP	FY 2021	84487	Kyrgyzstan Republican Narcology Center	HHS/CDC	Republican Narcology Center of the Republic of Kyrgystan	GH002272				Implementing Mechanism		165000		165000		165000	0	0	0	0	0	0	0	0	0	19412	0	0	0	145588	0	0	0	0	0																	
Asia Region	Kyrgyzstan	2020 COP	FY 2021	100165	Kyrgyzstan Support to Ministry of Health/Republican Narcology Center of the Kyrgyz Republic	HHS/CDC	Republican Narcology Center of the Republic of Kyrgystan	5NU2GGH001569			Contract	Implementing Mechanism		10000		10000		10000	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0																	
Asia Region	Kyrgyzstan	2020 COP	FY 2021	81246	Columbia University-ICAP	HHS/CDC	Trustees Of Columbia University In The City Of New York	GH002185	9/30/2019 4:00	9/29/2024 4:00	Cooperative Agreement	Implementing Mechanism		574000		574000		574000	0	0	0	0	0	0	0	280000	0	84000	0	70000	105000	0	0	35000	0	0	0												28700					
